client,hostname,alias_list,address_list
151.233.73.187,151.233.73.187,[Errno 1] Unknown host,
46.248.53.118,46.248.53.118,[Errno 1] Unknown host,
5.200.116.103,5.200.116.103,[Errno 1] Unknown host,
5.211.56.61,5.211.56.61,[Errno 1] Unknown host,
158.58.61.50,158.58.61.50,[Errno 1] Unknown host,
93.118.108.45,93.118.108.45,[Errno 1] Unknown host,
113.203.61.75,113.203.61.75,[Errno 1] Unknown host,
95.159.97.35,95.159.97.35,[Errno 1] Unknown host,
80.210.248.186,80.210.248.186,[Errno 1] Unknown host,
31.7.112.216,31.7.112.216,[Errno 1] Unknown host,
204.18.229.26,204.18.229.26,[Errno 1] Unknown host,
5.115.70.126,5.115.70.126,[Errno 1] Unknown host,
95.38.16.143,95.38.16.143,[Errno 1] Unknown host,
89.196.14.150,89.196.14.150,[Errno 1] Unknown host,
86.55.137.234,86.55.137.234,[Errno 1] Unknown host,
5.125.171.42,5.125.171.42,[Errno 1] Unknown host,
5.218.178.85,5.218.178.85,[Errno 1] Unknown host,
86.55.16.230,86.55.16.230,[Errno 1] Unknown host,
89.219.65.107,89.219.65.107,[Errno 1] Unknown host,
5.234.246.42,5.234.246.42,[Errno 1] Unknown host,
5.233.200.189,5.233.200.189,[Errno 1] Unknown host,
5.74.157.42,5.74.157.42,[Errno 1] Unknown host,
2.178.168.231,2.178.168.231,[Errno 1] Unknown host,
188.229.76.38,188.229.76.38,[Errno 1] Unknown host,
2.187.125.166,2.187.125.166,[Errno 1] Unknown host,
164.215.244.127,164.215.244.127,[Errno 1] Unknown host,
5.232.194.143,5.232.194.143,[Errno 1] Unknown host,
5.114.100.231,5.114.100.231,[Errno 1] Unknown host,
5.238.25.188,5.238.25.188,[Errno 1] Unknown host,
5.120.228.242,5.120.228.242,[Errno 1] Unknown host,
86.55.26.23,86.55.26.23,[Errno 1] Unknown host,
5.215.83.206,5.215.83.206,[Errno 1] Unknown host,
83.120.247.54,83.120.247.54,[Errno 1] Unknown host,
5.122.59.13,5.122.59.13,[Errno 1] Unknown host,
2.186.212.188,2.186.212.188,[Errno 1] Unknown host,
5.208.244.128,5.208.244.128,[Errno 1] Unknown host,
192.15.94.116,192.15.94.116,[Errno 1] Unknown host,
46.51.18.160,46.51.18.160,[Errno 1] Unknown host,
83.121.70.61,83.121.70.61,[Errno 1] Unknown host,
5.125.58.173,5.125.58.173,[Errno 1] Unknown host,
86.55.159.18,86.55.159.18,[Errno 1] Unknown host,
37.255.77.169,37.255.77.169,[Errno 1] Unknown host,
5.218.112.115,5.218.112.115,[Errno 1] Unknown host,
5.73.181.162,5.73.181.162,[Errno 1] Unknown host,
95.64.83.123,95.64.83.123,[Errno 1] Unknown host,
5.114.69.145,5.114.69.145,[Errno 1] Unknown host,
91.98.180.250,91.98.180.250.pol.ir,['250.180.98.91.in-addr.arpa'],['91.98.180.250']
188.159.37.242,adsl-188-159-37-242.sabanet.ir,['242.37.159.188.in-addr.arpa'],['188.159.37.242']
5.123.44.209,5.123.44.209,[Errno 1] Unknown host,
5.116.190.55,5.116.190.55,[Errno 1] Unknown host,
31.7.123.115,31.7.123.115,[Errno 1] Unknown host,
5.210.204.112,5.210.204.112,[Errno 1] Unknown host,
37.129.124.9,37.129.124.9,[Errno 1] Unknown host,
5.214.11.161,5.214.11.161,[Errno 1] Unknown host,
5.127.1.184,5.127.1.184,[Errno 1] Unknown host,
192.15.253.212,192.15.253.212,[Errno 1] Unknown host,
37.129.234.174,37.129.234.174,[Errno 1] Unknown host,
5.117.94.35,5.117.94.35,[Errno 1] Unknown host,
31.58.21.15,31-58-21-15.shatel.ir,['15.21.58.31.in-addr.arpa'],['31.58.21.15']
151.239.18.178,151-239-18-178.shatel.ir,['178.18.239.151.in-addr.arpa'],['151.239.18.178']
5.134.180.37,5.134.180.37,[Errno 1] Unknown host,
5.120.200.227,5.120.200.227,[Errno 1] Unknown host,
5.216.242.125,5.216.242.125,[Errno 1] Unknown host,
46.248.42.28,46.248.42.28,[Errno 1] Unknown host,
5.202.239.152,5.202.239.152,[Errno 1] Unknown host,
2.185.191.68,2.185.191.68,[Errno 1] Unknown host,
83.123.234.73,83.123.234.73,[Errno 1] Unknown host,
5.106.28.119,5.106.28.119,[Errno 1] Unknown host,
188.208.63.62,188.208.63.62,[Errno 1] Unknown host,
5.78.33.178,5.78.33.178,[Errno 1] Unknown host,
